GP-A-AM,the babysitter purchased a gift card thanked the parents.,Who said thanks?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter", The parents.
GP-A-PM,the babysitter purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents", The parents.
GP-A-PE,the babysitter purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter", The parents.
GP-A-A1,the babysitter purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents, The babysitter purchased a gift card.
GP-U-AM,the babysitter who was purchased a gift card thanked the parents.,Who said thanks?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter", The parents.
GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents", The parents.
GP-U-PE,the babysitter who was purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter", The babysitter.
GP-U-A1,the babysitter who was purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents, The babysitter thanked the parents.
GP-A-PM,the boy sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor", The tutor.
GP-A-PE,the boy sent an invitation hugged the tutor.,Who got an invitation?,"the boy sent an invitation
the boy
boy sent an invitation
boy", The tutor.
GP-A-A1,the boy sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged", The boy hugged the tutor.
GP-A-AM,the boy sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy sent an invitation
the boy
boy sent an invitation
boy", The boy.
GP-U-AM,the boy who was sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy", The boy who was sent an invitation.
GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor", The tutor.
GP-U-PE,the boy who was sent an invitation hugged the tutor.,Who got an invitation?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy", The boy.
GP-U-A1,the boy who was sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged", The boy hugged the tutor.
GP-A-PM,the boyfriend left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend", The girlfriend.
GP-A-PE,the boyfriend left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend", The girlfriend.
GP-A-A1,the boyfriend left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted", The boyfriend left a voicemail expressing distrust for the girlfriend.
GP-A-AM,the boyfriend left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend", The boyfriend distrusted the girlfriend.
GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend", The boyfriend.
GP-U-PM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend", The girlfriend.
GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend", The girlfriend.
GP-U-A1,the boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted", The boyfriend distrusted the girlfriend.
GP-A-PM,the brit served the first ace defeated the italian.,Who was defeated?,"the italian
italian", The Italian.
GP-A-PE,the brit served the first ace defeated the italian.,Who was served the first ace?,"the brit served the first ace
the brit
brit served the first ace
brit", The Italian.
GP-A-A1,the brit served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated", The brit served the first ace.
GP-A-AM,the brit served the first ace defeated the italian.,Who defeated?,"the brit served the first ace
the brit
brit served the first ace
brit", The Brit.
GP-U-AM,the brit who was served the first ace defeated the italian.,Who defeated?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit", The Brit.
GP-U-PM,the brit who was served the first ace defeated the italian.,Who was defeated?,"the italian
italian", The Italian.
GP-U-PE,the brit who was served the first ace defeated the italian.,Who was served the first ace?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit", The Brit.
GP-U-A1,the brit who was served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated", The brit served the first ace.
GP-A-PM,the chef presented the new knife greeted the audience.,Who was greeted?,"the audience
audience", The audience.
GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,"the chef presented the new knife
the chef
chef presented the new knife
chef",The chef.
GP-A-A1,the chef presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted", The chef presented the new knife to the audience.
GP-A-AM,the chef presented the new knife greeted the audience.,Who greeted the audience?,"the chef presented the new knife
the chef
chef presented the new knife
chef", The chef.
GP-U-AM,the chef who was presented the new knife greeted the audience.,Who greeted the audience?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef", The chef.
GP-U-PM,the chef who was presented the new knife greeted the audience.,Who was greeted?,"the audience
audience", The audience.
GP-U-PE,the chef who was presented the new knife greeted the audience.,Who got a new knife?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",The chef.
GP-U-A1,the chef who was presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted", The chef presented the new knife to the audience.
GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier",The cashier.
GP-A-PE,the child bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child", The child.
GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled", The child bought an ice cream cone and smiled at the cashier.
GP-A-AM,the child bought an ice cream cone smiled at the cashier.,Who smiled?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child", The child.
GP-A-PM,the child read a story hugged the nanny.,Who was hugged?,"the nanny
nanny", The nanny.
GP-A-PE,the child read a story hugged the nanny.,Who was read a story?,"the child read a story
the child
child read a story
child", The child.
GP-A-A1,the child read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged", The child hugged the nanny.
GP-A-AM,the child read a story hugged the nanny.,Who gave a hug?,"the child read a story
the child
child read a story
child", The child.
GP-A-PM,the child saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown", The clown.
GP-A-PE,the child saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child saved a front row seat
the child
child saved a front row seat
child", The child.
GP-A-A1,the child saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised", The child saved a front row seat.
GP-A-AM,the child saved a front row seat surprised the clown.,Who surprised the clown?,"the child saved a front row seat
the child
child saved a front row seat
child", The child.
GP-U-AM,the child who was bought an ice cream cone smiled at the cashier.,Who smiled?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child", The child.
GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier", The cashier.
GP-U-PE,the child who was bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child", The child.
GP-U-A1,the child who was bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled", The child smiled at the cashier.
GP-U-AM,the child who was read a story hugged the nanny.,Who gave a hug?,"the child who was read a story
the child
child who was read a story
child", The child.
GP-U-PM,the child who was read a story hugged the nanny.,Who was hugged?,"the nanny
nanny", The nanny.
GP-U-PE,the child who was read a story hugged the nanny.,Who was read a story?,"the child who was read a story
the child
child who was read a story
child", The child.
GP-U-A1,the child who was read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged", The child hugged the nanny.
GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child", The child.
GP-U-PM,the child who was saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown", The clown.
GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child", The child.
GP-U-A1,the child who was saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised", The child was given a front row seat.
GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent", A travel agent.
GP-A-PE,the colonel granted leave phoned a travel agent.,Who was granted leave?,"the colonel granted leave
the colonel
colonel granted leave
colonel", The colonel.
GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned", The colonel phoned a travel agent to arrange for leave.
GP-A-AM,the colonel granted leave phoned a travel agent.,Who phoned?,"the colonel granted leave
the colonel
colonel granted leave
colonel",The colonel phoned a travel agent.
GP-U-AM,the colonel who was granted leave phoned a travel agent.,Who phoned?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel", The colonel.
GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent", The travel agent.
GP-U-PE,the colonel who was granted leave phoned a travel agent.,Who was granted leave?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel", The colonel.
GP-U-A1,the colonel who was granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned", The colonel phoned a travel agent to arrange for leave.
GP-A-PM,the dispatcher handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver", The driver.
GP-A-PE,the dispatcher handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher", The dispatcher
GP-A-A1,the dispatcher handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried", Handed a pink slip.
GP-A-AM,the dispatcher handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher", The driver.
GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher", The dispatcher.
GP-U-PM,the dispatcher who was handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver", The driver
GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher", The dispatcher.
GP-U-A1,the dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried", The dispatcher worried about the driver.
GP-A-PM,the doctor delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons", The surgeons.
GP-A-PE,the doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor", The donor organ was delivered to the doctor.
GP-A-A1,the doctor delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted", The doctor delivered the donor organ.
GP-A-AM,the doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor", The doctor.
GP-U-AM,the doctor who was delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",The doctor.
GP-U-PM,the doctor who was delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons", The surgeons.
GP-U-PE,the doctor who was delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",The donor organ was delivered to the doctor.
GP-U-A1,the doctor who was delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted", The doctor delivered the donor organ and assisted several surgeons.
GP-A-PM,the general awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier", The soldier.
GP-A-PE,the general awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general awarded the medal
the general
general awarded the medal
general", The general.
GP-A-A1,the general awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed", The general awarded the medal.
GP-A-AM,the general awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general awarded the medal
the general
general awarded the medal
general", The general.
GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general who was awarded the medal
the general
general who was awarded the medal
general", The general.
GP-U-PM,the general who was awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier", The soldier.
GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general who was awarded the medal
the general
general who was awarded the medal
general", The general.
GP-U-A1,the general who was awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed", The general was awarded a medal.
GP-A-PM,the girl passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate", The classmate.
GP-A-PE,the girl passed a note tattled on the classmate.,Who was passed a note?,"the girl passed a note
the girl
girl passed a note
girl", The classmate.
GP-A-A1,the girl passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate", The girl tattled on the classmate by passing a note.
GP-A-AM,the girl passed a note tattled on the classmate.,Who tattled?,"the girl passed a note
the girl
girl passed a note
girl", The girl.
GP-A-PM,the girl played a song photographed the tourist.,Who was photographed?,"the tourist
tourist", The tourist.
GP-A-PE,the girl played a song photographed the tourist.,Who was played a song?,"the girl played a song
the girl
girl played a song
girl", The girl.
GP-A-A1,the girl played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed", The girl played a song.
GP-A-AM,the girl played a song photographed the tourist.,Who photographed the tourist?,"the girl played a song
the girl
girl played a song
girl", The girl.
GP-U-AM,the girl who was passed a note tattled on the classmate.,Who tattled?,"the girl who was passed a note
the girl
girl who was passed a note
girl", The girl who was passed the note.
GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate", The classmate.
GP-U-PE,the girl who was passed a note tattled on the classmate.,Who was passed a note?,"the girl who was passed a note
the girl
girl who was passed a note
girl",The classmate.
GP-U-A1,the girl who was passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate", The girl told the classmate's secret to someone else.
GP-U-AM,the girl who was played a song photographed the tourist.,Who photographed the tourist?,"the girl who was played a song
the girl
girl who was played a song
girl", The girl.
GP-U-PM,the girl who was played a song photographed the tourist.,Who was photographed?,"the tourist
tourist", The tourist.
GP-U-PE,the girl who was played a song photographed the tourist.,Who was played a song?,"the girl who was played a song
the girl
girl who was played a song
girl", The girl.
GP-U-A1,the girl who was played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed", The girl played a song for the tourist.
GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl", The girl who won the stuffed bear.
GP-U-PM,the girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker", The carnival worker.
GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",The girl.
GP-U-A1,the girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored", The girl ignored the carnival worker.
GP-A-PM,the girl won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker", The carnival worker.
