GP-A-AM,the babysitter purchased a gift card thanked the parents.,Who said thanks?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter", The parents thanked the babysitter.
GP-A-PM,the babysitter purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents", The parents were thanked.
GP-A-PE,the babysitter purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter", The parents got a gift card.
GP-A-A1,the babysitter purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents, The babysitter thanked the parents.
GP-U-AM,the babysitter who was purchased a gift card thanked the parents.,Who said thanks?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter", The babysitter said thanks to the parents.
GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents", The parents were thanked.
GP-U-PE,the babysitter who was purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter", The parents got a gift card.
GP-U-A1,the babysitter who was purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents, The babysitter thanked the parents.
GP-A-PM,the boy sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor", The tutor was hugged.
GP-A-PE,the boy sent an invitation hugged the tutor.,Who got an invitation?,"the boy sent an invitation
the boy
boy sent an invitation
boy",The tutor got an invitation from the boy.
GP-A-A1,the boy sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged",The boy sent an invitation to the tutor and then hugged the tutor.
GP-A-AM,the boy sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy sent an invitation
the boy
boy sent an invitation
boy", The boy hugged the tutor.
GP-U-AM,the boy who was sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy", The boy who was sent an invitation hugged the tutor.
GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor", The tutor was hugged.
GP-U-PE,the boy who was sent an invitation hugged the tutor.,Who got an invitation?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy", The boy got an invitation.
GP-U-A1,the boy who was sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged", The boy hugged the tutor.
GP-A-PM,the boyfriend left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend",The girlfriend was distrusted.
GP-A-PE,the boyfriend left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend", The girlfriend got a voicemail.
GP-A-A1,the boyfriend left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted",The boyfriend distrusted the girlfriend.
GP-A-AM,the boyfriend left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend", The boyfriend distrusted the girlfriend.
GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend", The boyfriend distrusted the girlfriend.
GP-U-PM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend", The girlfriend was distrusted.
GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend", The girlfriend got a voicemail.
GP-U-A1,the boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted", The boyfriend distrusted the girlfriend.
GP-A-PM,the brit served the first ace defeated the italian.,Who was defeated?,"the italian
italian",The Italian was defeated.
GP-A-PE,the brit served the first ace defeated the italian.,Who was served the first ace?,"the brit served the first ace
the brit
brit served the first ace
brit", The British was served the first ace.
GP-A-A1,the brit served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated", The brit defeated the Italian.
GP-A-AM,the brit served the first ace defeated the italian.,Who defeated?,"the brit served the first ace
the brit
brit served the first ace
brit", The Brit defeated the Italian.
GP-U-AM,the brit who was served the first ace defeated the italian.,Who defeated?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit", The Brit defeated the Italian.
GP-U-PM,the brit who was served the first ace defeated the italian.,Who was defeated?,"the italian
italian", The Italian was defeated.
GP-U-PE,the brit who was served the first ace defeated the italian.,Who was served the first ace?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit", The Brit was served the first ace.
GP-U-A1,the brit who was served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated", The brit defeated the Italian.
GP-A-PM,the chef presented the new knife greeted the audience.,Who was greeted?,"the audience
audience", The audience was greeted.
GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,"the chef presented the new knife
the chef
chef presented the new knife
chef", The chef got a new knife.
GP-A-A1,the chef presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted", The chef greeted the audience.
GP-A-AM,the chef presented the new knife greeted the audience.,Who greeted the audience?,"the chef presented the new knife
the chef
chef presented the new knife
chef", The chef greeted the audience.
GP-U-AM,the chef who was presented the new knife greeted the audience.,Who greeted the audience?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef", The chef greeted the audience.
GP-U-PM,the chef who was presented the new knife greeted the audience.,Who was greeted?,"the audience
audience", The audience was greeted.
GP-U-PE,the chef who was presented the new knife greeted the audience.,Who got a new knife?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef", The chef got a new knife.
GP-U-A1,the chef who was presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted", The chef greeted the audience.
GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier", The cashier was smiled at.
GP-A-PE,the child bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child", The child got an ice cream cone.
GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled", The child smiled at the cashier.
GP-A-AM,the child bought an ice cream cone smiled at the cashier.,Who smiled?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child", The child smiled at the cashier.
GP-A-PM,the child read a story hugged the nanny.,Who was hugged?,"the nanny
nanny",The nanny was hugged.
GP-A-PE,the child read a story hugged the nanny.,Who was read a story?,"the child read a story
the child
child read a story
child", The child read a story.
GP-A-A1,the child read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged", The child hugged the nanny.
GP-A-AM,the child read a story hugged the nanny.,Who gave a hug?,"the child read a story
the child
child read a story
child",The child hugged the nanny.
GP-A-PM,the child saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown", The clown was surprised.
GP-A-PE,the child saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child saved a front row seat
the child
child saved a front row seat
child", The child saved a front row seat for the clown.
GP-A-A1,the child saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised", The child saved a front row seat for the clown.
GP-A-AM,the child saved a front row seat surprised the clown.,Who surprised the clown?,"the child saved a front row seat
the child
child saved a front row seat
child", The child surprised the clown.
GP-U-AM,the child who was bought an ice cream cone smiled at the cashier.,Who smiled?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child", The child smiled at the cashier.
GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier", The cashier.
GP-U-PE,the child who was bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child", The child got an ice cream cone.
GP-U-A1,the child who was bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled",The child smiled at the cashier.
GP-U-AM,the child who was read a story hugged the nanny.,Who gave a hug?,"the child who was read a story
the child
child who was read a story
child", The child gave a hug to the nanny.
GP-U-PM,the child who was read a story hugged the nanny.,Who was hugged?,"the nanny
nanny", The nanny was hugged.
GP-U-PE,the child who was read a story hugged the nanny.,Who was read a story?,"the child who was read a story
the child
child who was read a story
child", The child was read a story.
GP-U-A1,the child who was read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged", The child hugged the nanny.
GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child", The child surprised the clown.
GP-U-PM,the child who was saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown", The clown was surprised.
GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child", The child was saved a front row seat.
GP-U-A1,the child who was saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised", The child surprised the clown by giving them a front row seat.
GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent",A travel agent was phoned.
GP-A-PE,the colonel granted leave phoned a travel agent.,Who was granted leave?,"the colonel granted leave
the colonel
colonel granted leave
colonel", The colonel was granted leave.
GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned", The colonel phoned a travel agent.
GP-A-AM,the colonel granted leave phoned a travel agent.,Who phoned?,"the colonel granted leave
the colonel
colonel granted leave
colonel", The colonel phoned a travel agent.
GP-U-AM,the colonel who was granted leave phoned a travel agent.,Who phoned?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel", The colonel phoned the travel agent.
GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent",A travel agent was phoned.
GP-U-PE,the colonel who was granted leave phoned a travel agent.,Who was granted leave?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel", The colonel was granted leave.
GP-U-A1,the colonel who was granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned",The colonel phoned a travel agent.
GP-A-PM,the dispatcher handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver", The dispatcher was worried about the driver.
GP-A-PE,the dispatcher handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher", The driver was handed a pink slip.
GP-A-A1,the dispatcher handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried", The dispatcher handed a pink slip to the driver and was worried about the driver.
GP-A-AM,the dispatcher handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher", The dispatcher worried about the driver.
GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher", The dispatcher
GP-U-PM,the dispatcher who was handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver",The dispatcher was worried about the driver.
GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher", The dispatcher.
GP-U-A1,the dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried", The dispatcher worried about the driver.
GP-A-PM,the doctor delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons", Several surgeons were assisted.
GP-A-PE,the doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor", The doctor delivered the donor organ.
GP-A-A1,the doctor delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted", The doctor assisted several surgeons in delivering the donor organ.
GP-A-AM,the doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor", The doctor assisted several surgeons.
GP-U-AM,the doctor who was delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor", The doctor who was delivered the donor organ.
GP-U-PM,the doctor who was delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons", Several surgeons were assisted.
GP-U-PE,the doctor who was delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor", The doctor was delivered the donor organ.
GP-U-A1,the doctor who was delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted", The doctor assisted several surgeons in delivering the donor organ.
GP-A-PM,the general awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier", The soldier was annoyed.
GP-A-PE,the general awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general awarded the medal
the general
general awarded the medal
general",The soldier was awarded the medal.
GP-A-A1,the general awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed", The general awarded the medal to the soldier.
GP-A-AM,the general awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general awarded the medal
the general
general awarded the medal
general", The general annoyed the soldier.
GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general who was awarded the medal
the general
general who was awarded the medal
general", The general who was awarded the medal annoyed the soldier.
GP-U-PM,the general who was awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier", The soldier was annoyed.
GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general who was awarded the medal
the general
general who was awarded the medal
general", The General was awarded the medal.
GP-U-A1,the general who was awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed", The general annoyed the soldier.
GP-A-PM,the girl passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate", The classmate was tattled on by the girl.
GP-A-PE,the girl passed a note tattled on the classmate.,Who was passed a note?,"the girl passed a note
the girl
girl passed a note
girl", The girl passed a note.
GP-A-A1,the girl passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate", The girl tattled on the classmate.
GP-A-AM,the girl passed a note tattled on the classmate.,Who tattled?,"the girl passed a note
the girl
girl passed a note
girl", The girl tattled on the classmate.
GP-A-PM,the girl played a song photographed the tourist.,Who was photographed?,"the tourist
tourist",The tourist was photographed.
GP-A-PE,the girl played a song photographed the tourist.,Who was played a song?,"the girl played a song
the girl
girl played a song
girl", The girl played a song.
GP-A-A1,the girl played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed", The girl photographed the tourist.
GP-A-AM,the girl played a song photographed the tourist.,Who photographed the tourist?,"the girl played a song
the girl
girl played a song
girl", The girl photographed the tourist.
GP-U-AM,the girl who was passed a note tattled on the classmate.,Who tattled?,"the girl who was passed a note
the girl
girl who was passed a note
girl", The girl tattled on the classmate.
GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate", The classmate was tattled on.
GP-U-PE,the girl who was passed a note tattled on the classmate.,Who was passed a note?,"the girl who was passed a note
the girl
girl who was passed a note
girl", The girl was passed the note.
GP-U-A1,the girl who was passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate", The girl tattled on the classmate.
GP-U-AM,the girl who was played a song photographed the tourist.,Who photographed the tourist?,"the girl who was played a song
the girl
girl who was played a song
girl", The girl photographed the tourist.
GP-U-PM,the girl who was played a song photographed the tourist.,Who was photographed?,"the tourist
tourist", The tourist was photographed.
GP-U-PE,the girl who was played a song photographed the tourist.,Who was played a song?,"the girl who was played a song
the girl
girl who was played a song
girl", The girl was played a song.
GP-U-A1,the girl who was played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed", The girl photographed the tourist.
GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl", The girl who won the stuffed bear ignored the carnival worker.
GP-U-PM,the girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker", The carnival worker was ignored.
GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl", The girl was won a stuffed bear.
GP-U-A1,the girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored", The girl ignored the carnival worker.
GP-A-PM,the girl won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker", The carnival worker was ignored.
GP-A-PE,the girl won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl", The girl won a stuffed bear.
GP-A-A1,the girl won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored", The girl ignored the carnival worker.
GP-A-AM,the girl won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl", The girl ignored the carnival worker.
GP-A-PM,the golfer cooked a special meal toasted the host.,Who was toasted?,"the host
host", The host was toasted.
GP-A-PE,the golfer cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer", The golfer cooked a special meal.
GP-A-A1,the golfer cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
toasted",The golfer toasted the host.
GP-A-AM,the golfer cooked a special meal toasted the host.,Who toasted?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer", The golfer toasted the host.
GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer", The golfer toasted the host.
GP-U-PM,the golfer who was cooked a special meal toasted the host.,Who was toasted?,"the host
host",The host was toasted.
GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer", The host was cooked a special meal.
GP-U-A1,the golfer who was cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
taosted", The golfer toasted the host.
GP-A-PM,the hobo cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar", The beggar was despised.
GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",The hobo cut a slice of cheese.
GP-A-A1,the hobo cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised", The hobo cut a slice of cheese.
GP-A-AM,the hobo cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo", The hobo despised the beggar.
GP-U-AM,the hobo who was cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",The hobo who was cut a slice of cheese despised the beggar.
GP-U-PM,the hobo who was cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar", The beggar was despised.
GP-U-PE,the hobo who was cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo", The hobo was cut a slice of cheese.
GP-U-A1,the hobo who was cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised", The hobo despised the beggar.
GP-A-PM,the inspector paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman", The fireman was argued with.
GP-A-PE,the inspector paid a fee argued with the fireman.,Who was paid a fee?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector",The inspector was paid a fee.
GP-A-A1,the inspector paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued", The inspector argued with the fireman.
GP-A-AM,the inspector paid a fee argued with the fireman.,Who argued?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector", The inspector and the fireman argued.
GP-U-AM,the inspector who was paid a fee argued with the fireman.,Who argued?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector", The inspector and the fireman argued.
GP-U-PM,the inspector who was paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman", The fireman was argued with.
GP-U-PE,the inspector who was paid a fee argued with the fireman.,Who was paid a fee?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector", The inspector was paid a fee.
GP-U-A1,the inspector who was paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued",The inspector argued with the firefighter.
GP-A-PM,the instructor submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean", The dean was visited.
GP-A-PE,the instructor submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor", The instructor submitted the plagiarized papers.
GP-A-A1,the instructor submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited", The instructor visited the dean.
GP-A-AM,the instructor submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor", The instructor visited the dean.
GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor", The instructor who submitted the plagiarized papers visited the dean.
GP-U-PM,the instructor who was submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean", The dean was visited.
GP-U-PE,the instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor", The instructor.
GP-U-A1,the instructor who was submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited", The instructor visited the dean.
GP-A-PM,the manager prepared the report praised the employees.,Who was praised?,"the employees
employees", The employees were praised.
GP-A-PE,the manager prepared the report praised the employees.,Who was prepared the report?,"the manager prepared the report
the manager
manager prepared the report
manager",The manager prepared the report.
GP-A-A1,the manager prepared the report praised the employees.,What did the manager do?,"praised the employees
praised", The manager praised the employees.
